"PRICES-1","P-1","","ARPINO (Giuseppe Cesari d'Arpino, 1568-1640)","1585-91","1585 |e 1591","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Crucifixion with the Virgin and St. John; Crowning of the Virgin, Apostles at the Tomb","75 scudi for each of two frescoes","75      ","368 x 214 cm each","Fresco","Wall","3","","","Sacred","","Rome, S. Atanasio dei Greci","Santori, Giulio Antonio, Cardinal","Rome, S. Atanasio dei Greci","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 20-21","","",""
"PRICES-14","P-14","","ARPINO","1604-06","1604 |e 1606","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Virgin, Child, Saints","250 scudi","250 ","262 x 174 cm","Oil","Altarpiece","4","11F61","Madonna and Child with Saints","Sacred","","Rome, SS. Trinità dei Pellegrini","SS. Trinità dei Pellegrini","Rome, SS. Trinità dei Pellegrini","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 123","","",""
"PRICES-15","P-15","","ARPINO","1608-09","1608 |e 1609","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","","100 scudi for 2 paintings","100","","","Easel","","","","","","Rome, Montalto collection","Peretti Montalto, Alessandro, Cardinal","","Granata, Belinda, ""Un nuovo dipinto delle 'Storie di Alessandro Magno' del cardinal Montalto,"" Paragone, no. 79, LIX, 2008, pp. 59-71","Payment for ""dui quadri che copiano li suoi giovani""","",""
"PRICES-16","P-16","","ARPINO","1609","1609","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Landscapes","100 scudi for 2 paintings","100","","","Easel","","25H1","Landscape in the Temperate Zone","Landscape","","Rome, Montalto collection","Peretti Montalto, Alessandro, Cardinal","","Granata, Belinda, ""Un nuovo dipinto delle 'Storie di Alessandro Magno' del cardinal Montalto,"" Paragone, no. 79, LIX, 2008, p. 50","Payment for ""due quadri di prospettivi oltra li due altri prima donati al Signor Principe Peretti""","",""
"PRICES-17","P-17","","ARPINO","1610-12","1610 |e 1612","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Scenes of the Triumph of the Virgin","2859 scudi","2859 ","","Frescoes (7)","Pendentives, lunettes, underarches","","","","Sacred","","Rome, S. Maria Maggiore, Cappella Paolina","Paul V, Pope","Rome, S. Maria Maggiore, Cappella Paolina","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 147 and p. 143","","",""
"PRICES-18","P-18","","ARPINO","1613-15","1613 |e 1615","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Fame; Lion with Putti","650 scudi","650 ","252 x 154 cm (Fame); 140 x 340 cm (Lion)","Frescoes (2)","Ceiling, wall frieze","1 (Fame); 2 (Lion and Putti)","","","Allegory","","Bagnaia, Villa Lante","Peretti Montalto, Alessandro, Cardinal","Bagnaia, Villa Lante","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 162","Payments were to Arpino as head of a team of artists; Röttgen estimates that Arpino received 150 scudi for Fame and 500 scudi for his other collaborative work","",""
"PRICES-19","P-19","","ARPINO","ca. 1617","1617","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","","500 scudi","500 ","","Fresco","Wall frieze","","","","","","Rome, Quirinal Palace","Paul V, Pope","","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 176","","",""
"PRICES-20","P-20","","ARPINO","1622","1622","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Virgin, Child, Angels","300 scudi","300 ","350 x 270 cm","Oil","Ceiling","3","","","Sacred","","Rome, S. Crisogono","Borghese, Scipione, Cardinal","Rome, S. Crisogono","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 195","The stretcher and primed canvas cost another 14 scudi","",""
"PRICES-21","P-21","","ARPINO","ca. 1625-27","1625 |e 1627","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Presentation of the Virgin in the Temple","300 scudi and gifts worth 18 scudi","300","","Oil","Altarpiece","5","73A34","Dedication (or presentation) of Mary in the temple: she ascends the steps and is received by the high priest","Sacred","","Rome, S. Maria in Vallicella, Cusano chapel","Cusano, Agostino, Cardinal","Rome, S. Maria in Vallicella, Cusano chapel","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 221","2.4 scudi were spent on a pair of gloves for Arpino ""per regalo assieme con una guantiera d'argento"", which cost another 15.6 scudi","",""
"PRICES-22","P-22","","ARPINO","1627-28","1627 |e 1628","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","St. Michael","200 scudi","200 ","ca. 268 x 212 cm [11 x 8 palmi]","Cartoon for mosaic, likely tempera on canvas","","2","11G183","Michael","Sacred","","Vatican, St. Peter's","Vatican, St. Peter's","formerly Barberini  collection","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 225-26","This cartoon was for the only mosaic altarpiece in St. Peter's, executed by G. B. Calandra in 1627-28 for 1797 scudi","",""
"PRICES-23","P-23","","ARPINO","1628","1628","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Adam and Eve","S. 45 scudi","45","","Oil","Easel on copper","2?","71A35","Adam and Eve in Paradise","Sacred","","","","","Kirwin, W. Chandler: ""Addendum to Cardinal Francesco Maria del Monte's Inventory: the Date of the Sale of Various Notable Paintings,"" Storia dell'arte, no. 9-10, 1971, p. 55","Sale of the collection of Card. Francesco Maria del Monte","",""
"PRICES-24","P-24","","ARPINO","1629-30","1629 |e 1630","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Nativity of the Virgin; Death of the Virgin","800 scudi for the two","800    ","225 x 332 cm","Oil","Choir lateral walls","5-10","","","Sacred","","Rome, S. Maria di Loreto","S. Maria di Loreto","Rome, S. Maria di Loreto","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 228-29","","",""
"PRICES-25","P-25","","ARPINO","S. 1631","1631","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Christ in the Garden of Gethsemane; Transfiguration; Landscape","S. 100 scudi for three paintings","100","","Oil","Easel","","","","Sacred; landscape","","","Valguarnera, Fabrizio","","Roma 1630: Il trionfo del pennello (exh. cat., Villa Medici, Rome), Milan: Electa, 1995, p. 229","Valguarnera gave Arpino ""un bottone d'azzuro che valeva venticinque scudi, et un barile di vino"" for facilitating the sale and for retouching the paintings, which presumably were all by him","",""
"PRICES-26","P-26","","ARPINO","E. 1632","1632","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Christ at the Column","E. 16.7 scudi [400 reales]","16","","","Easel","","73D351","Flagellation by soldiers, Christ usually tied to a column","Sacred","","","","","Burke, Marcus B. and Peter Cherry: Collections of Paintings in Madrid, 1601-1755 (Documents for the History of Collecting, The Provenance Index of the Getty Information Institute), Los Angeles: The J. Paul Getty Trust, 1997, p. 287, no. 26","Alonso Cortes inventory, Madrid, 1632 (evaluation by Vicencio Carducho)","",""
"PRICES-27","P-27","","ARPINO","E. 1635","1635","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Andromeda","E. ca. 240 scudi [900 l.t.]","240","","Oil","Easel","","94P2112","Andromeda chained to the rock","Myth","","","","","Bonfait, Olivier: ""Intorno alla Gerusalemme liberata: Roma-Parigi, 1640,"" in Intorno a Poussin. Ideale classico e epopea barocca tra Parigi e Roma (exh. cat., Villa Medici, Rome), ed. Olivier Bonfait and Jean-Claude Boyer, Rome: De Luca, 2000, p. 55","Margherite de La Châtre inventory, Paris, 1635","",""
"PRICES-28","P-28","","ARPINO","1639","1639","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","Trinity with Sts. Monica and Nicola da Tolentino","95.55 scudi worth of goods","95","380 x 210 cm","Oil","Altarpiece","5","","","Sacred","","Rome, S. Lucia in Selci","S. Lucia in Selci","Rome, S. Lucia in Selci","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 279","Arpino was paid with silver objects, silk, delicate foods, etc.","",""
"PRICES-29","P-29","","ARPINO","ca. 1639-40","1639 |e 1640","Arpino","Cesari, G.","CESARI, GIUSEPPE (CAVALIER D'ARPINO)","Italian","","St. Catherine of Siena","100 scudi","100 ","150 x 105 cm","Oil","Altarpiece","1","11HH CATHERINE OF SIENA","Catherine of Siena","Sacred","","Rome, Oratorio di S. Caterina","Oratorio di S. Caterina","Rome, Oratorio di S. Caterina","Röttgen, Herwarth: Il Cavalier Giuseppe Cesari D'Arpino, Rome: Ugo Bozzi, 2002, cat. 281","","",""
"PRICES-30","P-30","","ABBATINI, Guidobaldo (ca. 1600-56)","1630-33","1630 |e 1633","Abbatini","Abbatini","ABBATINI, GUIDO UBALDO","Italian","","Putti, Garlands, etc.","471.2 scudi","471","","Fresco","","","","","","","Vatican, St. Peter's, crypt","Vatican, St. Peter's","","Pollak, Oskar: Die Kunsttätigkeit unter Urban VIII, Vienna: Filser, 1928-31, II, pp. 521-24, nos. 2112, 2119-23","For putti and decorative motifs in chiaroscuro and other unspecified painting beneath the crossing of St. Peter's","",""
"PRICES-31","P-31","","ABBATINI, Guidobaldo","1636","1636","Abbatini","Abbatini","ABBATINI, GUIDO UBALDO","Italian","","Landscapes","30 scudi for two paintings","30    ","Small [paesini]","Oil on copper","Easel","","25H1","Landscape in the Temperate Zone","Landscape","","Rome, Barberini collection","Urban VIII, Pope","","Pollak, Oskar: Die Kunsttätigkeit unter Urban VIII, Vienna: Filser, 1928-31, I, p. 392, no. 1427","The frames were included in the price","",""
"PRICES-32","P-32","","ABBATINI, Guidobaldo","1636","1636","Abbatini","Abbatini","ABBATINI, GUIDO UBALDO","Italian","","Christ (2); The Madonna (2)","16 scudi for four paintings","16    ","Small [quadretti]","Oil","Easel","","","","Sacred","","Rome, Barberini collection","Urban VIII, Pope","","Pollak, Oskar: Die Kunsttätigkeit unter Urban VIII, Vienna: Filser, 1928-31, I, p. 392, no. 1428","","",""
"PRICES-33","P-33","","ABBATINI, Guidobaldo","1638","1638","Abbatini","Abbatini","ABBATINI, GUIDO UBALDO","Italian","","","50 scudi","50 ","","Oil","Easel","","","","","","Rome, Barberini collection","Urban VIII, Pope","","Pollak, Oskar: Die Kunsttätigkeit unter Urban VIII, Vienna: Filser, 1928-31, I, p. 392, no. 1429","Payment for diverse pitture","",""
"PRICES-34","P-34","","ABBATINI, Guidobaldo","1639","1639","Abbatini","Abbatini","ABBATINI, GUIDO UBALDO","Italian","","Attack on the Palazzo Firenze","60 scudi","60 ","168 x 223 cm [longo palmi 10 e largo p. 7 1/2]","Oil","Easel","","","","History","","Rome, Barberini collection","Urban VIII, Pope","","Pollak, Oskar: Die Kunsttätigkeit unter Urban VIII, Vienna: Filser, 1928-31, I, p. 392, no. 1430","","",""
"PRICES-35","P-35","","ALBERTI, Giovanni (1558-1601) and ALBERTI, Cherubino (1553-1615)","1595-99/1600","1595 |e 1600","Giovanni Alberti; Cherubino Alberti","Alberti, Giov. (II); Alberti, Cherubino","ALBERTI, GIOVANNI (II); ALBERTI, CHERUBINO","Italian; Italian","and Alberti, Cherubino; and Alberti, Giov. (II)","St. Clement and the Trinity; Virtues; Baptism of Constantine","3050 or 3075 scudi","3050; 3075","","Fresco","Vault, walls","Crowd","","","Sacred","","Vatican, Palace, Sala Clementina","Clement VIII, Pope","Vatican, Palace, Sala Clementina","Abromson, Morton: Painting in Rome during the Papacy of Clement VIII (1592-1605): A Documented Study (Ph.D. diss., Columbia University, 1976), Ann Arbor: UMI, 1976, pp.37-38, 328-35, nos. 1-38","The contract specifies the painters' obligations to pay for materials and that the ultramarine blue should not cost more than 10 scudi an ounce","",""
"PRICES-36","P-36","","ALBERTONI, Paolo","1678-79","1678 |e 1679","Albertoni","Albertoni, P.","ALBERTONI, PAOLO","Italian","","Temperance Reinforcing Will","100 scudi (?)","100","","Fresco","Vault","Crowd","","","Sacred allegory","","Rome, SS. Ambrogio e Carlo al Corso","SS. Ambrogio e Carlo al Corso","Rome, SS. Ambrogio e Carlo al Corso","Drago, G. and Salerno, L.  SS. Ambrogio e Carlo al Corso e l'Arciconfraternita dei Lombardi in Roma, 1967, p. 102","The fee presumably was the customary 100 scudi for the frescoes above the side aisles, not 1000 scudi as printed in Drago and Salerno","",""
"PRICES-37","P-37","","ASCENZI, Carlo","1678-79","1678 |e 1679","Ascenzi","Ascenzi, C.","ASCENZI (ASSENZI), CARLO","Italian","","Penitence","100 scudi (?)","100","","Fresco","Vault","","11Q12","Penitence, Repentance; 'Penitenza', 'Pentimento'","Sacred allegory","","Rome, SS. Ambrogio e Carlo al Corso","SS. Ambrogio e Carlo al Corso","Rome, SS. Ambrogio e Carlo al Corso","Drago, G. and Salerno, L.  SS. Ambrogio e Carlo al Corso e l'Arciconfraternita dei Lombardi in Roma, 1967, p. 107","Only 50 scudi paid a conto were recorded, but the usual fee for the frescoes above the side aisles was 100 scudi","",""
"PRICES-38","P-38","","BALDI, Lazzaro (1622-1703)","1662","1662","Baldi","Baldi","BALDI, LAZZARO","Italian","","Sts. Philip Neri and Charles Borromeo; Sts. Philip Neri and Ignatius","50 scudi for two paintings","50    ","","Fresco","Overdoors","2; 2","","","Sacred","","Rome, Oratorio of S. Filippo Neri","Oratorio of S. Filippo Neri","Rome, Oratorio of St. Filippo Neri","Merz, J.M. Pietro da Cortona und sein Kreis : die Zeichnungen in Düsseldorf, 2005, p. 299","","",""
"PRICES-39","P-39","","BALDI, Lazzaro","1665-67","1665 |e 1667","Baldi","Baldi","BALDI, LAZZARO","Italian","","Mission of the Apostles","100 scudi","100 ","","Oil","Altarpiece","5-10","","","Sacred","","Rome, Collegio di Propaganda Fide","Collegio di Propaganda Fide","Rome, Collegio di Propaganda Fide","Merz, J.M. Pietro da Cortona und sein Kreis : die Zeichnungen in Düsseldorf, 2005, p. 299","","",""
"PRICES-40","P-40","","BALDI, Lazzaro","1686","1686","Baldi","Baldi","BALDI, LAZZARO","Italian","","Annunciation","130 scudi","130 ","370 x 200 cm","Oil","Altarpiece","5-10","73A52","Annunciation: Mary, usually reading, is visited by the Angel","Sacred","","Rome, S. Marcello al Corso, Maccarani chapel","S. Marcello al Corso","Rome, S. Marcello al Corso","Merz, J.M. Pietro da Cortona und sein Kreis : die Zeichnungen in Düsseldorf, 2005, p. 305-06","","",""
"PRICES-41","P-41","","BALDI, Lazzaro","1661-62","1661 |e 1662","Baldi","Baldi","BALDI, LAZZARO","Italian","","Vision of St. John on Patmos","100 scudi","100 ","ca. 6 x 4 m","Fresco","Altarpiece","5-10","","","Sacred","","Rome, S. Giovanni in Laterano, Inghirami chapel","S. Giovanni in Laterano","Rome, S. Giovanni in Laterano, Inghirami chapel","Merz, J.M. Pietro da Cortona und sein Kreis : die Zeichnungen in Düsseldorf, 2005, p. 317","","",""
"PRICES-42","P-42","","BALDI, Lazzaro","1669","1669","Baldi","Baldi","BALDI, LAZZARO","Italian","","Scenes of St. Peter of Alcántara; Scenes of St. Maria Maddalena de' Pazzi; etc.","1955 scudi","1955 ","","","","","","","Sacred","","Vatican, St. Peter's; Rome, S. Maria in Aracoeli; Rome, S. Maria in Transpontina; Rome, S. Giovanni dei Fiorentini","","","Merz, J.M. Pietro da Cortona und sein Kreis : die Zeichnungen in Düsseldorf, 2005, p. 325-26","Baldi was paid large sums for paintings and banners for the ceremonies of the canonizations of Sts. Peter of Alcántara and Maria Maddalena de' Pazzi","",""
"PRICES-43","P-43","","BALDI, Lazzaro","1668","1668","Baldi","Baldi","BALDI, LAZZARO","Italian","","St. Francesco Borgia, etc.","1200 scudi","1200 ","","","","","11H FRANCIS BORGIA","Francis Borgia","Sacred","","Vatican, St. Peter's; Rome, S. Andrea della Valle; Rome, Il Gesù; Rome, S. Marcello; Rome, S. Maria sopra Minerva","","","Merz, J.M. Pietro da Cortona und sein Kreis : die Zeichnungen in Düsseldorf, 2005, p. 332","Baldi was paid large sums for paintings and banners for the ceremonies of the canonizations of five saints","",""
"PRICES-44","P-44","","BARBALONGA, (Antonio Alberti 1603-49)","1631","1631","Alberti","Alberti, Ant. (Barbalonga)","ALBERTI, ANTONIO (BARBALONGA)","Italian","","Coronation of the Virgin with Sts. Jerome and Bonaventure","115 scudi","115 ","270 x 180 cm","Oil","Altarpiece","5-10","","","Sacred","","Rome, S. Maria della Concezione","Barberini, Antonio, Cardinal","Rome, SS. Croce e Bonaventura dei Lucchesi","Danesi Squarzina, Silvia. La Collezione Giustiniani, 2003, p. 105","The circumstances of this often confused commission await clarification","",""
"PRICES-45","P-45","","BARBALONGA, Antonio","1630","1630","Antonio Barbalonga","Alberti, Ant. (Barbalonga)","ALBERTI, ANTONIO (BARBALONGA)","Italian","","God the Father Appearing to Sts. Gaetano and Andrea Avellino","102 scudi","102 ","550 x 307 cm","Oil","Altarpiece","Crowd","","","Sacred","","Rome, S. Silvestro al Quirinale","S. Silvestro al Quirinale","Rome, S. Silvestro al Quirinale","Bell, Janis C.: ""The Date of Antonino Barbalonga's God the Father Appearing to Saints Gaetano and Andrea Avellino,"" Source, VII, 1988, no. 2, pp. 17-19","Thirty of the scudi were for the ultramarine blue, and two scudi for Barbalonga's assistant's food","",""
"PRICES-46","P-46","","BARBALONGA, Antonio","1632-33","1632 |e 1633","Antonio Barbalonga","Alberti, Ant. (Barbalonga)","ALBERTI, ANTONIO (BARBALONGA)","Italian","","Madonna degli Angeli","350 scudi","350 ","","Oil","Altarpiece","","","","Sacred","","Catania, Convent of the Cappuccini","Cappuccini Order","","Danesi Squarzina, Silvia. La Collezione Giustiniani, 2003, pp. 106-07","35 giuli more were paid ""per la spesa per la cassetta et incerato""","",""
"PRICES-47","P-47","","BARBALONGA, Antonio","1633","1633","Antonio Barbalonga","Alberti, Ant. (Barbalonga)","ALBERTI, ANTONIO (BARBALONGA)","Italian","","Pope Urban VIII; Card.  Antonio Barberini","100 scudi for four paintings","100    ","","Oil","Easel","","","","Portrait","","Rome, S. Maria della Concezione","Barberini","","Pollak, Oskar: Die Kunsttätigkeit unter Urban VIII, Vienna: Filser, 1928-31, I, pp. 172-73, no. 571","The payment was for ""4 Ritratti di Nostro Signore e dell'Emino Sign. Cardinale S. Onofrio fatti da lui al Coro e Reffettorio nel Convento de' PP. Cappuccini""","",""
"PRICES-48","P-48","","BAROCCI, Federico (ca. 1535-1612)","1603-07","1603 |e 1607","Federico Barocci","Barocci","BAROCCI, FEDERICO","Italian","","Institution of the Eucharist","1483 scudi","1483 ","290 x 177 cm","Oil","Altarpiece","5-10","","","Sacred","","Rome, S. Maria sopra Minerva, Aldobrandini chapel","Clement VIII, Pope","Rome, S. Maria sopra Minerva, Aldobrandini chapel","Emiliani, Andrea: Federico Barocci: Urbino (1535-1612), Bologna, Nuova Alfa, 1985, II, p. 380","","",""
"PRICES-49","P-49","","BENASCHI, Giovanni Battista (1636-88)","1678-79","1678 |e 1679","Benaschi","Beinaschi","BEINASCHI, GIOVANNI BATTISTA","Italian","","Religion, Strength, Purity, Chastity","100 scudi","100 ","","Fresco","Vault","","","","Sacred allegory","","Rome, SS. Ambrogio e Carlo al Corso","SS. Ambrogio e Carlo al Corso","Rome, SS. Ambrogio e Carlo al Corso","Drago, G. and Salerno, L.  SS. Ambrogio e Carlo al Corso e l'Arciconfraternita dei Lombardi in Roma, 1967, p. 104","","",""
